date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:56:38	5118/5118	---M--	200	added ('OK')	image/jpeg	etag:%2213fe-58621ad52c54e%22	http://gw2.voids.cn/images/logo-text.jpg	Z:/Downloads/web/gw2/gw2.voids.cn/images/logo-text.jpg	(from http://gw2.voids.cn/)
05:56:38	91076/91076	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:40%20GMT	http://gw2.voids.cn/build/necromancer	Z:/Downloads/web/gw2/gw2.voids.cn/build/necromancer.html	(from http://gw2.voids.cn/)
05:56:38	97348/97348	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:40%20GMT	http://gw2.voids.cn/build/guardian	Z:/Downloads/web/gw2/gw2.voids.cn/build/guardian.html	(from http://gw2.voids.cn/)
05:56:39	90792/90792	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:41%20GMT	http://gw2.voids.cn/build/thief	Z:/Downloads/web/gw2/gw2.voids.cn/build/thief.html	(from http://gw2.voids.cn/)
05:56:40	81912/81912	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:41%20GMT	http://gw2.voids.cn/build/engineer	Z:/Downloads/web/gw2/gw2.voids.cn/build/engineer.html	(from http://gw2.voids.cn/)
05:56:40	93680/93680	---M-Z	200	added ('OK')	application/javascript	etag:%2216df0-5a59a14c7dc97-gzip%22	http://gw2.voids.cn/js/vue.min.js	Z:/Downloads/web/gw2/gw2.voids.cn/js/vue.min.js	(from http://gw2.voids.cn/)
05:56:40	77742/77742	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:42%20GMT	http://gw2.voids.cn/build/mesmer	Z:/Downloads/web/gw2/gw2.voids.cn/build/mesmer.html	(from http://gw2.voids.cn/)
05:56:41	86103/86103	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:42%20GMT	http://gw2.voids.cn/build/revenant	Z:/Downloads/web/gw2/gw2.voids.cn/build/revenant.html	(from http://gw2.voids.cn/)
05:56:41	56778/56778	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:43%20GMT	http://gw2.voids.cn/benchmarks	Z:/Downloads/web/gw2/gw2.voids.cn/benchmarks.html	(from http://gw2.voids.cn/)
05:56:42	64245/64245	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:43%20GMT	http://gw2.voids.cn/benchmarks/buffs	Z:/Downloads/web/gw2/gw2.voids.cn/benchmarks/buffs.html	(from http://gw2.voids.cn/)
05:56:42	204856/204856	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:44%20GMT	http://gw2.voids.cn/timer	Z:/Downloads/web/gw2/gw2.voids.cn/timer.html	(from http://gw2.voids.cn/)
05:56:43	66981/66981	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:44%20GMT	http://gw2.voids.cn/npc	Z:/Downloads/web/gw2/gw2.voids.cn/npc.html	(from http://gw2.voids.cn/)
05:56:43	96614/96614	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:45%20GMT	http://gw2.voids.cn/database/item	Z:/Downloads/web/gw2/gw2.voids.cn/database/item.html	(from http://gw2.voids.cn/)
